Endomorphic,Mesomorphic,EctoMorphic,Id,Mass,Height,SkinfoldTriceps,SkinfoldSubscapular,SkinfoldSupraspinale,SkinfoldMedialCalf,BreadthHumerus,BreadthFemur,GirthArmUpper,GirthCalfStanding
3.76373461694477,3.815562,5.33376342245383,15,49.22,169.79,21.35,8.9,6.4,7.58,7.09,10.74,23.95,31.31
3.16602469435161,5.38816,0.568444695439243,16,68.24,160.62,8.49,7.87,12.88,3.38,7.18,9.42,26.41,33.27
2.87780733692486,5.18541,3.20625672429991,17,59.6,169.62,4.53,7.16,16.54,9.76,6.29,9.67,31.89,36.92
5.10982848842508,6.502566,0.2700102171308,18,66.18,156.38,15.33,17.58,14.07,19.3,7.08,8.89,28.58,39.11
1.91719239982344,3.223875,5.46934616848799,19,48.3,169.4,8.13,2.74,8.99,10.51,6.55,8.27,28.75,32.56
4.03679360797704,5.667744,0.1,20,59.64,146.12,6.62,9.38,17.9,13.7,7.19,8.16,28.57,26.15
3.9304902259711,3.842384,0.301086203255583,21,77.56,165.16,11.33,7.52,18.42,11.62,7.19,8.61,27,30.8
5.06938538799424,5.449124,1.18664295585052,22,69.96,167.46,14.05,14.06,21.74,5.96,7.03,8.26,32.14,38.56
3.38560921958341,3.773988,5.22535926785725,23,59.2,179.99,8.08,12.06,14.82,7.38,7.14,9.63,29.13,35.61
3.72674386676944,3.674775,6.10240129714997,24,46.46,170.33,14.91,10.73,10.76,11.77,7.57,7.73,23.95,39.22
4.02829096377985,3.090515,4.23637145175438,25,64.78,180.05,9.52,13.38,18.78,11.79,7.24,9.27,32.73,28.63
4.21058477248656,5.676087,1.94199294721531,26,65.29,167.9,13.93,14.48,12.31,9.79,7.44,11.09,29.8,30.68
3.48378058809687,2.433362,4.82800625423891,27,53.76,172.25,15.09,12.44,6.88,9.56,6.91,8.24,22.43,36.26
2.49732298866925,0.267543999999997,10.2162416015146,28,38.86,179.52,8.51,8.44,9.34,15.18,6.79,9.44,20.86,26.51
3.3287065368538,3.8591,5.04790972485282,29,53.98,173.62,12.11,11.6,9.46,4.02,7.16,9.22,31.48,29.77
3.37955935052947,4.131802,3.40485008847998,30,53.28,164.42,14.56,9.36,7.96,12.6,6.92,8.7,28.87,31.39
3.44083271251117,4.124812,5.03114680257557,31,43.02,160.89,11.75,8.6,11.4,12.68,6.76,8.84,24.96,33.05
2.94845616657636,3.285925,7.23989757711131,32,41.81,169.84,5.25,11.52,12.14,9.45,6.79,9.04,26.59,31.23
3.80846861758766,2.3168,3.64456644843821,33,65.66,177.6,14.46,7.54,16.8,9.22,6.47,9.86,23.14,35.25
2.34622708662442,2.887796,1.5633745676111,34,76.92,175.13,4.63,6.39,13.27,10.6,6.64,9.08,25.72,34.77
2.44323925410304,3.633868,5.50438520652578,35,47.76,168.94,1.05,10.38,12.84,16.72,7.28,9.68,26.62,27.86
2.53706136100947,3.435752,5.99416711856498,36,51.88,176.16,8.8,10.62,6.74,12.48,7.35,9.51,28.21,31.39
3.1872823900898,0.510798000000001,2.3923633533884,37,67.22,172.04,5.8,13.47,12.25,16.32,6.01,9.3,22.42,24.59
3.32548731075111,-0.525976,5.71363910883086,38,66.62,189.92,14.71,11.35,10.19,4.68,6.32,9,25.3,28.68
2.74072653278371,1.184182,1.4766274192035,39,76.49,174.3,8.47,11.97,7.3,13.32,7.49,9.28,23.02,22.11
4.13497429344041,1.798252,3.18871710575865,40,57.87,167.87,12.39,11.21,16.34,6.46,6.48,7.87,22.9,31.25
4.27495559955897,4.111186,2.22356377697637,41,66.97,170.89,11.38,18.27,12.47,6.7,6.59,7.67,30.71,39.02
2.1885569704674,1.752506,1.08915367744491,42,68.27,165.24,5.09,8.4,8.11,8.72,6.39,8.43,21.64,28.06
2.8809622691512,2.506268,0.610936465066612,43,85.63,173.65,6.8,9.09,13.04,9.92,7.1,9.11,27.02,27.3
1.84615672556162,4.381611,3.37349525911302,44,49.15,159.9,0.99,4.84,12.36,6.37,7.27,9.69,27.71,22.85
4.44198489661205,4.560477,2.64864922887804,45,61.23,168.15,5.67,17.87,19.65,6.07,7.01,9.93,29.2,29.94
2.86468582005493,2.872181,5.1776012055905,46,50.82,170.82,8.43,8.56,11.32,4.45,6.47,9.21,29.45,27.06
2.43787292017811,2.883276,3.00865394179498,47,56.05,165.15,1.34,10.25,12.09,8.82,6.74,8.02,28.96,25.7
3.16989034387506,3.248676,5.80387280608033,48,45.62,167.84,14.11,8.95,7.53,10.16,6.64,7.71,29.22,33.17
3.48972480412156,3.375464,3.7429599269817,49,59.11,172.01,3.99,13.78,16.65,7.24,6.03,9.08,29.36,33.85
3.89612015514916,2.249418,1.23131461841914,50,74.08,171.09,16.46,9.55,12.25,10.74,7.12,10.34,24.06,23.59
3.71339103671361,4.22314,4.3658057788055,51,55.84,172.03,12.54,9.59,14.5,7.78,6.11,9.07,32.31,36.35
4.21080447905231,1.088251,3.47405952282194,52,72.52,182.61,10.87,14.5,18.92,11.63,6.21,10.35,23.76,30.35
4.60334467255455,3.248329,1.09681646026705,53,79.41,173.85,17.12,7.57,21.74,7.95,6.29,8.02,29.02,39.13
2.31388001481917,3.25624,3.54097852458623,54,56.67,168.55,11.24,8.15,3.71,7.88,6.94,8.97,25.34,31.46
3.3875745303586,4.103555,1.95106737746804,55,61.64,164.76,5.54,7.98,18.5,10.73,6.87,9.16,29.11,28.52
1.45346051025948,1.368418,4.3599276931873,56,62.11,178.21,2.7,2.9,11.31,11.42,7.13,8.32,23.76,30.21
3.60265125542988,3.544339,2.6713805675241,57,64.81,171.49,6.36,15.13,13.93,11.63,6.49,8.06,25.53,41.02
2.55619084801481,6.279408,3.83897082237726,58,50.61,163.82,7.55,11.02,5.92,10.12,7.09,9.79,25.23,42.45
4.18065179879165,1.843087,4.01337545425819,59,60.96,175.24,11.01,16.26,14.91,4.25,6.27,8.4,26.5,32.08
3.52084991000771,6.021927,4.47307292934813,60,52.26,168.82,11.18,10.03,12.87,10.09,7.01,9.31,29.81,42.21
4.17644940707549,5.261919,1.35384365766093,61,65.13,164.53,12.44,16.24,10.88,12.09,6.48,9.05,32.38,35.14
2.24990354671854,3.660529,3.86375965801101,62,59.86,173.38,3.87,7.23,12.1,11.45,7.64,8.96,23.16,36.25
3.45919185415813,3.709636,0.472436477120688,63,76.95,166.3,9.2,14.07,9.72,13.74,6.31,8.58,28.3,34.15
1.68443049362084,-0.0902970000000032,8.12634478355644,64,53,188.36,5.9,7.68,6.37,11.57,6.96,8.49,23.81,30.01
2.23726976199601,4.614806,4.83532709642049,65,55.15,173.76,10.33,8.02,4.79,10.6,6.35,8.98,27.07,45.39
4.16528291192251,2.597329,6.77921040082754,66,50.68,178.76,14.91,17.85,10.1,6.33,5.98,8.77,31.19,34.98
3.29321235578672,4.467888,3.18366631280805,67,54.52,164.54,7.78,11.29,12.04,13.08,6.81,9.67,20.86,39.15
3.91840850125581,4.450803,1.09626372699942,68,72.98,169.02,15.27,15.15,7.6,12.31,7.32,9.7,24.24,36.71
3.56017951228424,3.665628,3.41092085003085,69,74.41,183.82,12.88,12.33,12.31,5.88,7.01,9.77,31.36,36.03
4.31617973057456,2.707316,3.89936684444029,70,62.08,175.69,16.56,10.2,16.99,8.76,6.95,9.23,24.18,34.9
3.60716901305252,3.15683,3.69670900155177,71,54.63,167.31,14.51,6.87,13.22,12.12,6.37,8.55,25.25,35.35
2.17803768800118,2.153564,1.01994683887617,72,78.77,172.67,8.62,1.27,12.59,13.3,7.15,8.4,23.48,31.38
1.70942938859361,3.989198,2.46118444705061,73,66.46,171.77,8.8,4.26,5.34,9.32,7.16,9.14,28.17,33.38
3.68648682416663,3.808647,3.06161419542635,74,65.98,174.67,5.7,10.39,20.83,7.13,5.93,8.8,31.04,38.51
3.756757940409,3.846047,4.7774469532911,75,50.96,168.95,16.98,9.22,10.2,5.99,7.51,9.46,30.19,25.4
2.12589865819716,2.829745,6.9795308121434,76,45.22,173.07,6.38,8.77,6.93,10.41,6.73,8.32,26.71,34.12
4.27683450486838,3.328723,4.85941356893817,77,49.64,167.89,15.58,13.44,12.38,2.23,7.24,7.85,25.74,33.43
3.40571710395718,3.411203,4.43883134226987,78,53.04,169.48,8.14,13.65,11.32,13.05,6.64,9.4,28.07,30.14
4.22856826068419,2.810496,6.82933622708614,79,52.9,181.59,9.85,18.99,15.4,4.74,6.55,9.49,27.8,36.09
3.3981577085301,4.426933,0.57956612733836,80,72.44,163.95,3.06,13.04,15.86,12.79,6.72,9.34,30.74,28.01
3.06168423026257,5.985591,4.22391470488008,81,46.56,161.22,5.58,13.07,9.78,11.55,7.21,10.55,29.38,30.1
1.99946680641062,3.154327,6.03651075898672,82,46.66,170.25,4.68,9.5,6.47,13.59,7.25,8.15,32.58,24.97
3.2476385903522,5.512876,4.60733898225362,83,59.08,176.58,7.4,13.31,12.23,15.84,6.99,9.65,32.93,40.69
4.06734566073073,2.528664,7.4495438380731,84,48.94,180.04,20.21,11.9,9.99,7.28,7.2,8.96,30.88,29.46
3.44176246017842,4.689538,0.541580450769622,85,75.2,165.66,11.69,9.66,11.35,13.3,7.06,8.48,30.32,33.98
2.83977224377915,3.914409,1.89581702646166,86,63.73,166.3,3.78,11.89,11.67,8.37,6.63,8.41,27.89,33.66
2.14614531222273,4.472192,1.62140223361672,87,63.53,164.63,5.14,7.23,8.8,10.76,7.12,8.5,25.84,35.61
3.33816651808551,3.321852,1.84259560767429,88,67.32,169.07,7.84,14.81,9.74,17.96,6.85,9.19,25.34,32.56
3.17421934239406,1.827654,1.62014144038484,89,67.46,167.95,14.22,9.43,7,11.7,6.25,8.38,25.15,28.93
4.05147050903173,3.295567,3.88834781665272,90,59.25,172.92,7.63,16.98,15.66,13.19,6.73,8.96,24.6,37.39
2.52588222479602,2.42807,4.39833946269439,91,64.31,180.5,5.25,10.46,10.99,4.6,6.23,8.39,27.67,38.24
3.46893378319823,2.258969,3.30316182282081,92,59.1,169.66,8.91,14.86,9.98,9.53,6.83,8.45,21.34,33.26
3.16217662587178,0.552967999999996,7.16386576939187,93,50.55,180.55,6.67,9.37,16.79,15.56,6.62,8.09,23.54,31.76
2.1788851686171,2.226802,2.48661527798275,94,69.64,174.61,2.57,11.96,8.21,8.52,7.74,8.34,20.61,32.66
2.89480479005388,2.276785,1.66222771387146,95,76.98,175.75,8.13,10.42,10.86,17.01,6.56,9.21,25.84,32.33
2.21284565722207,1.077742,5.71933071648309,96,52.3,175.23,2.61,9.14,11.37,8.4,6.76,8.85,26.03,23.01
3.5002924203255,4.354869,1.61979433887261,97,70.52,170.45,13.14,6.36,14.71,14.69,7.16,8.77,30.27,34.55
2.73995249575028,4.897715,0.1,98,86.33,166.3,11.11,11.74,3.61,4.27,7.19,8.81,28.76,34.72
3.70495838372878,1.558162,3.64873951947885,99,71.77,182.97,15.22,12.37,11.28,4.12,6.71,8.88,29.91,28.96
4.2809391093398,2.807879,2.30604437230301,100,66.61,171.04,11.93,16.82,13.47,9.67,6.51,9.51,23.59,33.28
2.89523250551853,3.925328,4.52642418317305,101,65.1,181.94,3.66,11.49,15.3,10.34,7.36,9.85,28.67,36.46
3.9141263012901,1.893842,4.40699569937278,102,50.92,167.03,14.31,11.05,12.17,6.7,6.26,9.98,20.72,27.25
2.54616275439121,4.190255,3.75366921306626,103,54.05,167.01,8.97,5.59,10.32,10.59,7.11,8.68,26.12,35.28
3.56344514455214,2.473413,10.8296654649615,104,31.89,170.73,10.67,8.73,15.48,14.81,6.88,8.96,25.37,29.32
1.51548869430112,2.056763,5.20644174741202,105,55.85,176.43,8.42,3.37,5.47,12.41,7.1,10.38,26.11,23.53
3.62817680125987,1.504338,1.98618512086721,106,77.55,178.07,6.65,15.92,14.47,13.72,6.71,8.91,19.63,36.49
0.882476739977679,2.801952,4.95679127030818,107,64.64,183.87,-0.23,15.97,-3.15,3.22,6.1,9.38,29.54,37.34
3.29544863334112,2.233919,2.63551230459866,108,69.05,174.95,13.11,9.33,10.66,6.33,6.23,8.66,27.2,33.15
2.94326370177734,3.506939,2.3015581052549,109,60.92,166,7.63,7.46,13.12,10.17,6.4,8.42,27.55,33.1
3.39871734059285,2.130373,1.97678516210689,110,70.11,172.13,3.59,12.04,17.93,10.15,6.12,8.9,25.25,31.45
3.39857651754289,4.779345,0.1,111,87.55,166.7,3.89,8.08,20.53,9.03,6.96,9.02,27.12,36.3
4.29781500590874,3.077975,5.95256843395013,112,45.9,168.91,6.2,18.59,17.08,12.65,7.17,9.11,27.76,25.96
2.19144668739309,3.186232,4.88887367998744,113,51.49,170.1,-0.84,6.19,16.91,13.1,6.41,8.79,27.75,32.08
3.14688970324271,2.450186,2.56692814873074,114,65.03,171.11,11.42,12.97,6.58,4.48,6.49,9.14,26.3,28.86
2.05275755409978,2.83059299999999,1.38848832060785,115,70.09,168.8,7.19,2.9,10.83,5.95,6.84,9.25,23.5,29.99
3.95229709941289,4.012314,1.72699538542164,116,69.48,170.21,7.1,10.8,20.73,13.76,6.24,8.86,32.51,33.38
3.52313387748284,6.24121,0.896708103961874,117,68.67,163.86,12.94,10.43,9.73,12.08,7.93,9.97,29,33.52
3.7650482770242,1.264751,2.16273641664429,118,69.58,172.74,11.76,15.25,10.29,12.41,7.1,8.3,20.7,30.08
3.58059896292164,3.657674,3.25593132012446,119,52.17,162.51,15.46,11.78,6.12,10.18,7.16,8.56,28.26,26.71
3.04451691319793,0.818346999999999,5.26115055488754,120,64.37,185.28,12.6,12.18,7.72,2.53,7.2,10.23,22.27,27.05
4.68053952198795,3.086366,4.66316176271761,121,53.02,170.61,12.41,15.17,18.83,13.26,6.21,9.35,24.49,36.22
3.59031889309419,2.282914,9.37826442597481,122,36.08,171.35,14.4,9.99,10.88,13.56,7.07,9.17,20.87,32.41
3.71109431472132,4.96797,0.161300373679683,123,85.98,169.6,14.91,12.71,8.47,10.22,7.09,9.48,29.13,36.48
2.93396180834717,2.475107,4.15679110149367,124,58.58,173.69,5.03,14.3,10.1,9.69,7.16,7.51,25.96,33.8
4.23928208437616,3.480294,2.21314395897148,125,67.64,171.4,13.45,9.95,18.47,7.66,6.93,7.83,27.4,37.31
2.96417292378587,1.540815,4.58152492283413,126,61.14,178.47,14.95,10.39,5.19,8.95,6.74,9.35,23.04,31.75
3.78303693547886,4.507002,5.35567244384156,127,48.96,169.6,9.99,13.33,13.48,5.46,6.35,8.96,31.76,35.38
3.48884723834501,1.891217,9.90682587321639,128,41.58,182.15,3.83,19.03,13.58,5.29,6.93,7,30.47,34.34
3.82099289519865,4.209904,4.04773197512158,129,60.28,174.77,13.87,10.12,14.32,12.6,6.81,9.83,27.88,37.74
3.50096558811377,2.746951,2.33461303469321,130,71.33,175.15,8.45,11.84,14.87,10.39,7.11,9.46,22.46,34.22
3.66708349204443,3.571748,6.41624629711693,131,48.75,174.65,19.88,8.68,8.16,10.48,6.62,8.85,27.16,39.68
3.56961585218632,4.456424,2.78109179125268,132,66.15,173.27,13.99,14.02,7.45,6.34,7.35,8.92,25.84,40.34
2.82989188024609,3.113572,7.05474479084083,133,45.02,173.18,4.58,4.78,19.02,11.44,6.75,8.97,27.26,32.69
3.69925455172299,3.714439,6.85903312411509,134,44.28,171.28,8.81,11.97,15.55,18.53,6.87,8.81,29.03,33.97
4.09032704640208,7.483112,4.98375194588037,135,44.71,162.74,12.48,16.42,9.38,16.84,6.2,9.04,34.58,46.92
3.43502276320591,4.108545,1.00952199784326,136,77.12,171.36,5.29,9.31,19.16,15.23,7.04,8.5,27.26,38.06
4.61258937889832,0.882770999999998,2.9810931114782,137,66.99,175.11,16.04,19.25,11.58,11.07,6.69,8.05,26.96,25.81
4.64366465919065,3.466041,6.8031807974326,138,42.79,169.07,11.99,16.27,17.33,11.97,6.32,8.13,29.41,35.37
3.60178738232951,3.251757,1.72414751670982,139,70.41,170.95,11.37,11.92,12.01,9.97,6.93,8.31,26.45,34.83
3.81961938029778,3.39553799999999,4.89500903071788,140,49.65,168.08,6.75,13.35,16.73,12.82,7.43,8.69,25.08,30.65
3.12421548911819,4.318378,0.491473589483988,141,70.91,162,5.34,14.17,9.61,11.5,6.71,9.89,24.16,31.57
3.39802117071872,8.15636799999999,1.59169099760569,142,68.72,168.83,9.65,17.59,5.67,1.92,6.93,9.11,35.73,48.74
3.13088157708233,0.542760999999999,9.18002188962853,143,38.93,174.83,11.48,6.93,13.08,4.65,6.57,8.62,21.4,27.3
3.4528493467047,4.447874,1.31950591910435,144,76.73,173.57,9.85,14.21,10.31,8.96,7.14,8.83,36.78,28.99
3.44965852154846,4.384617,7.47003867032997,145,40.61,169.28,4.93,16.81,11.75,9.49,6.99,9.58,25.18,36.13
3.24968031720414,4.450451,6.84939930629067,146,44.94,172.08,9.5,6.13,16.49,9.89,7.48,9.27,28.44,34.13
4.67737830577431,4.71117,1.34989980334922,147,62.6,162.35,14.72,8.19,21.22,4.24,6.47,9.44,25.07,36.56
2.14120125573374,5.946044,4.09052783317412,148,50.05,164.48,1.87,8.53,10.71,13.4,7.33,9.16,29.01,37.24
4.3689118735638,3.656859,7.21476814813708,149,39.12,166,4.72,17.61,19.55,3.95,6.86,9.5,22.46,32.53
3.98107952146808,4.588425,5.50083031081499,150,44.05,164.43,7.75,16.85,13,8.95,6.88,9.5,28.16,31.13
3.75043655962474,4.791276,1.65449571617529,151,65.28,166.31,8.01,16.74,11.02,4.36,7.13,9.08,29.63,32.01
4.31896060739445,3.521189,2.15897413860159,152,66.1,169.79,17.61,14.86,9.84,7.33,6.64,8.91,29.67,31.57
2.15539069130712,3.312277,2.13343498920001,153,71.17,173.88,3.42,8.58,10.44,17.97,7,7.69,34.16,30.4
4.3164668039873,5.174582,2.13858965315856,154,61.85,165.96,9.69,13.27,18.37,10.26,7.12,7.88,27.99,41.34
2.58812770376954,3.207835,2.98212431121224,155,62.18,170.82,8.78,8.4,8.64,7.11,6.96,9.33,25.35,31.18
3.12803038796635,5.47131,0.1,156,68.73,151.81,11.23,8.22,7.87,11.76,7.04,8.61,23.94,34.43
4.43186365057024,4.606363,1.91881473894452,157,70.4,172.04,13.77,12.04,18.27,8.31,7.24,8.97,28.77,37.42
3.33065107139363,1.158514,4.94945866853631,158,63.05,182.31,7.41,15.32,12.12,8.48,6.95,8.69,29.88,24.93
3.79452663115656,3.149101,8.89981659244068,159,36.42,169.72,6.39,12.42,18.13,8.87,6.95,8.63,28.65,28.63
4.07662515739592,4.790443,2.86578361776071,160,65.89,173.51,13.46,14.53,12.68,15.99,7.5,9.3,30.82,35.48
2.89126854795851,6.116488,0.414119074514954,161,71.6,161.83,10.27,5.62,11.16,12.36,7.16,8.7,31.35,36.91
4.28305286508154,2.79457,2.33657300474416,162,65.37,170.14,15.29,12.99,13.74,15.68,6.98,9.49,23.58,31.04
2.99234884131145,2.527175,1.69946868437704,163,65.79,166.99,10.95,13.17,4.7,17.95,6.77,8.86,25.71,27.52
3.41065390435115,4.089617,0.413858428615843,164,68.13,159.17,13.82,12.38,4.94,11.47,6.44,9.43,27.08,28.58
3.61466410085615,3.872346,2.23720712436364,165,59.71,164.55,12.23,12.33,9.54,4.2,6.87,7.48,31.57,30.44
5.55491515176569,2.023517,2.77207922269789,166,56.83,164.67,19.44,12.97,22.18,12.51,7.23,9.08,26.06,19.27
2.2363472414503,5.169625,6.16270555070836,167,43.49,166.91,3.6,11.03,7.59,10.65,7.06,8.53,29.68,37.33
1.8478250646094,3.387388,4.56069307591019,168,54.66,171.82,0.62,5.67,13.27,11.16,7.26,8.77,26.38,31.85
2.80571465380922,4.597297,3.32393193591222,169,61.62,172.15,9.11,10.59,8.29,9.95,6.8,9.58,27.94,38.11
3.74779250940457,2.237452,6.55162240513742,170,50.39,177.27,12.87,10.75,14.48,8.22,6.86,8.46,27.02,32.82
2.23934405165041,3.14530999999999,2.97330748159798,171,69.41,177.15,8.33,9.62,5.66,13.46,6.82,9.25,27.91,34.58
2.53771455058388,0.347547999999996,4.19113633901039,172,59.84,175.11,7.74,14.01,4.26,9.3,6.13,9.08,21.05,27.38
3.05109549101219,2.879039,5.68174242395368,173,49.91,172.33,9.76,10.93,9.6,6.93,6.67,9.02,25.86,32.57
3.21646071318416,4.323607,0.467654520104805,174,85.13,171.95,2.36,13.79,15.63,3.95,6.49,8.04,29.43,40.52
3.47105213058389,3.957323,5.2159785970239,175,49.93,170.01,7.69,7.22,18.93,5.25,5.82,9.12,30.55,35.65
2.45938570392278,3.518006,0.745364598383556,176,79.33,170.53,10.23,6.22,8.19,12.3,6.63,7.2,25.64,42.93
3.51871261111608,3.981967,3.23492548656182,177,61.33,171.4,10.91,2.83,20.84,9.35,6.44,9.41,27.41,37
3.1664507655997,3.71936,8.11304203644255,178,37.25,167.41,2.44,10.62,17.42,11.98,7.07,10.11,23.45,30.05
4.62065601538859,2.915989,3.04854561475963,179,54.49,163.81,9.51,15.33,19.09,6.83,6.8,7.57,26.98,29.24
2.14372288019141,5.23252,2.19826867547485,180,58.84,163.54,7.53,5.85,7.63,3.46,6.65,8.63,29.86,36.32
4.16174789457438,4.653471,1.27400839343278,181,68.89,167.19,16.17,10.1,13.78,7.73,6.42,10.19,29.75,32.66
3.50502149012575,3.915943,5.39947742701198,182,46.22,166.59,14.36,10.09,9.03,10.79,7.11,8.67,27.26,32.59
2.13212621525687,2.754422,8.25802856502994,183,48.06,182.97,11.87,4.41,7.12,5.82,6.53,9.76,33.09,30.13
2.81167479991416,3.246389,0.1,184,89.17,163.59,2.72,11.76,12.17,17.55,7.38,8.83,28.16,22.22
3.11982868876542,0.442717999999999,0.617047048597659,185,91.33,177.48,9.82,14.92,7.12,0.36,5.98,9.01,23.37,27.6
2.59659179381993,2.170544,3.94620981828104,186,67.23,180.68,1.37,9.36,16.66,7.1,6.53,9.03,23.83,37.08
4.58340544292343,4.304105,0.828777009821017,187,77.71,170.13,15.54,13.46,16.22,6.43,6.83,8.47,33.89,32.08
2.77365713459869,3.524089,7.87547099967683,188,43.73,175.46,13.98,9.1,5.15,8.17,7.03,8.59,30.73,33.74
4.19628622308172,7.204229,0.1,189,85.75,158.12,18.36,12.44,7.41,16.73,6.73,8.81,34.63,40.08
4.43842422976166,2.369612,1.54723345761247,190,63.28,164.01,5.48,21.02,15.59,3.14,7.03,8.64,21.73,26.08
2.49054650876414,3.078333,2.43930675096575,191,61.37,167.15,7.89,12.35,4.18,7.85,6.25,7.93,26.36,35.19
2.54319098718874,3.114974,1.55557383046506,192,69.09,168.93,3.7,6.48,14.96,14.36,7.1,10.01,23.16,28.47
3.8208235239085,2.64268,6.46037248706315,193,46.09,171.63,6.77,14.22,16.63,6.94,6.72,8.45,24.76,33.33
3.2334380658623,1.813483,5.56659563601323,194,63.33,185.94,12.55,7.88,14.11,5.07,7.27,8.91,24.42,36.06
1.75191729604952,4.920288,1.87643855256198,195,66.68,168.72,1.03,1.89,15.5,5.88,7.04,9.86,31.7,29.26
4.94581236536507,3.873345,1.86121704233583,196,72.92,173.74,12.91,17.38,19.99,2.07,6.74,9.8,30.87,30.64
2.47762952697842,3.176291,4.32329978988073,197,63.5,179.33,9.36,8.62,8.1,8.41,6.53,9.28,31.1,33.87
3.99949494715866,4.01235,2.32781187469434,198,60.71,165.95,16.5,6.44,15.19,7.8,7.23,8.3,29.47,30.78
2.77130822927561,4.580906,3.54504160474234,199,53.95,165.83,3.31,9.89,13.46,10.06,6.99,8.5,28.17,34.95
3.5730350071436,4.189558,2.18654499116496,200,64.73,168.76,12.4,9.48,12.69,3.62,7.11,8.81,24.02,38.37
3.89006384664425,5.085941,2.89891880166117,201,55.21,163.75,13.82,8.9,13.84,11.83,6.61,9.89,31.42,30.84
3.06644191130262,3.31964899999999,1.13496712543466,202,68.81,166.08,12.05,9.4,7.88,5.91,6.36,9.16,23.75,33.98
3.66219030158461,4.61775399999999,3.62072379175867,203,56.06,168.36,13.37,13.84,8.14,15.1,6.23,9.11,32.28,35.89
3.02773114017814,4.262933,7.44260891337099,204,46.05,176.39,5.59,5.61,19.58,7.25,6.63,9.43,29.24,38.75
2.80186236238743,4.086589,0.518417475890452,205,70.06,161.59,9.76,7.71,8.77,7.93,6.89,8.86,23.99,33.04
2.55637082491059,4.922983,1.00318469684587,206,65.07,161.87,6.12,8.6,9.48,10.21,7.16,8.3,31.07,30.65
3.83362988453935,4.053584,5.01322589597928,207,55.06,174.59,6.35,11.18,20.87,13.16,6.7,10.03,29.61,33.62
2.08054083955557,3.581336,6.93197365943523,208,43.31,170.37,3.99,10.54,6.82,9.22,6.79,8.82,31.94,27.9
2.99959940051075,3.501123,0.798799919308724,209,85.15,175.11,8.61,9.7,11.98,10.09,6.74,8.45,28.08,38.04
3.54255335140418,1.757107,0.66591539789178,210,76.83,167.99,6.82,12.86,14.44,11.27,6.4,8.57,20.61,31.41
2.45590472875987,3.685485,4.71428931459062,211,56.79,174.83,12.69,8.82,3.72,10.93,6.92,8.56,27.59,38.72
2.80098071021621,-0.397832000000001,4.44860513800997,212,60.15,176.79,7.58,9.93,11.19,7.28,6.27,8.58,22.94,22.81
3.04739388849061,3.08532900000001,1.40186117952613,213,77.13,174.35,10.67,14.74,5.2,15.45,7.11,8.52,28.87,32.46
2.57768138521355,3.224456,0.306734172830211,214,86.56,171.37,9.64,6.65,9.52,6.62,6.83,10.49,25.14,28.39
3.76620009206034,3.47702,8.56445048644096,215,39.38,172.64,11.67,11.05,14.57,10.14,6.27,8.44,31.21,35.13
3.37055842423644,2.05966799999999,0.907147037456863,216,74.16,168.21,9.93,14.07,8.53,4.68,6.53,7.49,28.19,27.66
4.2061780673953,2.924267,3.52315331527777,217,59.38,171.1,7.72,17.76,15.97,9.87,6.61,8.66,26.99,32.25
3.90021758108277,2.642675,6.97983735059123,218,49.46,178.32,9.13,13.52,17.27,10.11,5.99,8.84,33.23,31.91
